What are the two primary, often competing, goals of an Operating System?;Convenience for the user and efficiency in resource management.
What is the fundamental role of an OS regarding computer hardware?;It acts as an intermediary, providing an interface for users to interact with the hardware, hiding its complexity.
What are the two main functions of the OS in resource management?;Resource Allocator (decides who gets what) and Comprehensive Manager (controls execution).
What is a "batch" in a Batch Operating System?;A group of jobs with similar requirements that are processed together sequentially without user interaction.
What major problem did multiprogramming solve compared to batch systems?;It solved CPU inefficiency by keeping multiple jobs in memory and switching to another job during I/O waits, maximizing CPU utilization.
What is the key difference between multiprogramming and multitasking?;Multiprogramming focuses on maximizing CPU utilization. Multitasking (time-sharing) is a logical extension that focuses on providing a responsive user experience through rapid process switching.
What is the defining characteristic of a Multiprocessing OS?;It has two or more CPUs (or cores) working in parallel, achieving true simultaneous execution of multiple processes.
What is the most critical requirement for a Real-time Operating System (RTOS)?;Tasks must be completed within strict, non-negotiable deadlines. The system's correctness depends on both the logical result and the time it is produced.
What is the difference between a program and a process?;A program is a passive entity (a set of instructions on disk). A process is an active instance of a program in execution, with its own resources (memory, CPU time).
What are the four main sections of a process in memory?;Stack (local variables, function calls), Heap (dynamic memory), Data Segment (global/static variables), and Text Segment (program code).
What is the Process Control Block (PCB)?;A data structure maintained by the OS for each process, containing all essential information about that process. It's the "passport" or "context" for the process.
What 8 key pieces of information are stored in a PCB?;1. Process ID (PID) 2. Process State 3. Program Counter 4. CPU Registers 5. Priority 6. Memory Management Info 7. List of Open Files & Devices 8. Protection Information.
What happens during a context switch?;The OS saves the state of the current process into its PCB and loads the state of the new process from its PCB.
What are the five primary states of a process?;New, Ready, Running, Blocked (or Wait), and Terminated.
What does it mean for a process to be in the "Ready" state?;The process is loaded into main memory and has everything it needs to run, but is waiting in a queue for its turn on the CPU.
In a system with 'N' CPU cores, what is the maximum number of processes in the "Running" state?;'N'. For a single CPU system, the maximum is 1.
What causes a process to move from the Running state to the Blocked (Wait) state?;It requests an event that requires waiting, most commonly an I/O operation (e.g., reading from a file).
What is swapping in the context of process states?;Moving a process from main memory to secondary memory (disk) to free up RAM. This introduces the "Suspend Ready" and "Suspend Blocked" states.
What is the "Suspend Ready" state?;A process that was ready (in main memory) is swapped out to secondary memory. It is still ready to run but must be brought back into main memory first.
